"number","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"2880",4.33839479392625,6.23549343498518,6.66876310272537,6.47799511002445,7.36363636363636,7.91545189504373,7.89017341040462,6.68421052631579,9.74285714285714,9.74929577464789
"2548",22.1330880098129,22.1132953957579,7.25258493353028,13.358024691358,9.77984665936473,9.79944289693593,5.44069640914037,7.48299319727891,7.6103500761035,9.30626057529611
"5522",4.55580865603645,5.63777307963355,4.24520292069961,8.87573964497041,7.80234070221066,9.2485549132948,5.94227504244482,3.60576923076923,10.9826589595376,9.27152317880795
"5525",13.9021852237253,23.1415525114155,11.8587360594796,7.85714285714286,9.08483290488432,2.33236151603499,5.84615384615385,11.0952380952381,10.2072072072072,9.20245398773006
"1477",10.5647539982908,12.6295747831606,4.25260472039124,6.34355828220859,5.98167539267016,6.859410430839,3.46892655367232,4.80625,6.36245353159851,9.13313609467456
"2347",7.83400809716599,13.1333228889237,12.3606319230071,13.0746031746032,3.09917355371901,5.97014925373134,4.81347773766546,5.52268244575937,8.13810110974106,9.10958904109589
"2462",7.09475587703436,12.1081081081081,6.75144441202218,7.01754385964912,9.68896321070234,12.4294205052006,8.57632933104631,9.75382003395586,5.64102564102564,9.10192837465565
"2511",10.0712949976625,4.93548387096774,0,4.96385542168675,12.4285714285714,12.2321428571429,12.5974025974026,5.29007633587786,7.6555023923445,9.09090909090909
"2536",7.18556701030928,8.26978998384491,6.41354540790149,7.56880733944954,13.3003300330033,6.02409638554217,5.42264752791069,3.81709741550696,8.94854586129754,9.05923344947735
"3028",7.45557000433463,10.6595602931379,5.35833891493637,5.77669902912621,7.14285714285714,9.58904109589041,6.5,5.29100529100529,8.94736842105263,9.04255319148936
"5215",NA,NA,NA,NA,0,4.95049504950495,18.9318479685452,3.3003300330033,7.31707317073171,9.02255639097744
"2890",1.98019801980198,1.15555555555556,0,1.14285714285714,5.58205128205128,4.43348017621145,10.1854304635762,10.3516556291391,11.1453183520599,9.01869158878505
"3528",NA,NA,NA,NA,13.783401920439,14.0301507537688,10.8919803600655,7.71142520612485,8.4726368159204,9.01219512195122
"5880",NA,NA,NA,NA,NA,7.73224043715847,8.3598820058997,7.86532951289398,8.19488817891374,8.98019801980198
